database,alloy,T_C,phase,label,set_index,fraction
mc_fe,benchmark,940.0,BCC_A2,BCC_A2,1,0.995793025800676
mc_fe,benchmark,940.0,LIQUID,LIQUID,2,0.0008658874601003499
mc_fe,benchmark,950.0,FCC_A1,FCC_A1,0,0.0014838435985688586
mc_fe,benchmark,950.0,BCC_A2,BCC_A2,1,0.9978008658484457
mc_fe,benchmark,950.0,LIQUID,LIQUID,2,0.0007152905532286009
mc_fe,benchmark,960.0,BCC_A2,BCC_A2,0,0.9994482528440813
mc_fe,benchmark,960.0,LIQUID,LIQUID,1,0.0005517471193882286
mc_fe,benchmark,970.0,BCC_A2,BCC_A2,0,0.9996265963434982
mc_fe,benchmark,970.0,LIQUID,LIQUID,1,0.0003734036835195302
mc_fe,benchmark,980.0,BCC_A2,BCC_A2,0,0.9998194644583026
mc_fe,benchmark,980.0,LIQUID,LIQUID,1,0.000180535491172576
mc_fe,benchmark,990.0,BCC_A2,BCC_A2,0,1.000000000002745
mc_fe,benchmark,1000.0,BCC_A2,BCC_A2,0,1.0000000000053941
mc_fe,benchmark,1010.0,BCC_A2,BCC_A2,0,0.9999999999949
mc_fe,benchmark,1020.0,BCC_A2,BCC_A2,0,1.0000000000038318
mc_fe,benchmark,1030.0,BCC_A2,BCC_A2,0,1.0000000000069051
mc_fe,benchmark,1040.0,BCC_A2,BCC_A2,0,1.0000000000113818
mc_fe,benchmark,1050.0,BCC_A2,BCC_A2,0,1.0000000000004294
mc_fe,benchmark,1060.0,BCC_A2,BCC_A2,0,0.9999999999929411
mc_fe,benchmark,1070.0,BCC_A2,BCC_A2,0,1.000000000027011
mc_fe,benchmark,1080.0,BCC_A2,BCC_A2,0,0.9999999999869171
mc_fe,benchmark,1090.0,BCC_A2,BCC_A2,0,1.000000000009645
mc_fe,benchmark,1100.0,BCC_A2,BCC_A2,0,0.9999999999804343
mc_fe,benchmark,1110.0,BCC_A2,BCC_A2,0,0.9999999999960452
mc_fe,benchmark,1120.0,BCC_A2,BCC_A2,0,0.9999999999884709
mc_fe,benchmark,1130.0,BCC_A2,BCC_A2,0,0.9999999999967752
mc_fe,benchmark,1140.0,BCC_A2,BCC_A2,0,1.0000000000017943
mc_fe,benchmark,1150.0,BCC_A2,BCC_A2,0,0.999999999995373
mc_fe,benchmark,1160.0,BCC_A2,BCC_A2,0,1.000000000006943
mc_fe,benchmark,1170.0,BCC_A2,BCC_A2,0,1.0000000000085298
mc_fe,benchmark,1180.0,BCC_A2,BCC_A2,0,0.9999999999897643
mc_fe,benchmark,1190.0,BCC_A2,BCC_A2,0,1.000000000005814
mc_fe,benchmark,1200.0,BCC_A2,BCC_A2,0,0.9999999999974821
mc_fe,benchmark,1210.0,BCC_A2,BCC_A2,0,1.000000000009958
mc_fe,benchmark,1220.0,BCC_A2,BCC_A2,0,1.0000000000133686
mc_fe,benchmark,1230.0,BCC_A2,BCC_A2,0,0.999999999989377
mc_fe,benchmark,1240.0,BCC_A2,BCC_A2,0,0.9999999999782553
mc_fe,benchmark,1250.0,BCC_A2,BCC_A2,0,1.0000000000034983
mc_fe,benchmark,1260.0,BCC_A2,BCC_A2,0,1.0000000000143419
mc_fe,benchmark,1270.0,BCC_A2,BCC_A2,0,0.9999999999960579
mc_fe,benchmark,1280.0,BCC_A2,BCC_A2,0,0.9999999999845414
mc_fe,benchmark,1290.0,BCC_A2,BCC_A2,0,1.0000000000197902
mc_fe,benchmark,1300.0,BCC_A2,BCC_A2,0,1.0000000000185185
mc_fe,benchmark,1310.0,BCC_A2,BCC_A2,0,0.9999999999928444
mc_fe,benchmark,1320.0,BCC_A2,BCC_A2,0,1.000000000004417
mc_fe,benchmark,1330.0,BCC_A2,BCC_A2,0,0.9999999999980024
mc_fe,benchmark,1340.0,BCC_A2,BCC_A2,0,0.9999999999995722
mc_fe,benchmark,1350.0,BCC_A2,BCC_A2,0,0.9999999999984809
mc_fe,benchmark,1360.0,BCC_A2,BCC_A2,0,0.9999999999861886
mc_fe,benchmark,1370.0,BCC_A2,BCC_A2,0,0.9983354041801491
mc_fe,benchmark,1370.0,LIQUID,LIQUID,1,0.0016645958174820064
mc_fe,benchmark,1380.0,BCC_A2,BCC_A2,0,0.9514128162483079
mc_fe,benchmark,1380.0,LIQUID,LIQUID,1,0.04858718379283543
mc_fe,benchmark,1390.0,LIQUID,LIQUID,0,0.1376426701446655
mc_fe,benchmark,1390.0,BCC_A2,BCC_A2,1,0.8623573298481516
mc_fe,benchmark,1400.0,LIQUID,LIQUID,0,0.2611617125347039
mc_fe,benchmark,1400.0,BCC_A2,BCC_A2,1,0.738838287468201
mc_fe,llm,400.0,__NONCONVERGED__,__NONCONVERGED__,-1,nan
mc_fe,llm,410.0,__NONCONVERGED__,__NONCONVERGED__,-1,nan
mc_fe,llm,420.0,__NONCONVERGED__,__NONCONVERGED__,-1,nan
mc_fe,llm,430.0,__NONCONVERGED__,__NONCONVERGED__,-1,nan
mc_fe,llm,440.0,BCC_A2,BCC_A2,0,0.5995542569681372
mc_fe,llm,440.0,BETA_MN,BETA_MN,2,0.11292399605618332
mc_fe,llm,440.0,FCC_A1,FCC_A1,3,0.26817278886688606
mc_fe,llm,440.0,M23C6,M23C6,4,0.019345789057200965
mc_fe,llm,450.0,BCC_A2,BCC_A2,0,0.5857601236115272
mc_fe,llm,450.0,BETA_MN,BETA_MN,2,0.09393176962561062
mc_fe,llm,450.0,FCC_A1,FCC_A1,3,0.30174259577096557
mc_fe,llm,450.0,M23C6,M23C6,4,0.018562678341006434
mc_fe,llm,460.0,BCC_A2,BCC_A2,0,0.5709953505821327
