database,series,ni_at,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,4.6,550.0,B2_BCC[ordered],0.10045974176683782,,1300.0
mpea-02b,C_measured,4.6,575.0,A1_FCC,0.9043776344134106,,1300.0
mpea-02b,C_measured,4.6,575.0,B2_BCC[ordered],0.09562236556076811,,1300.0
mpea-02b,C_measured,4.6,600.0,A1_FCC,0.9096517552694149,,1300.0
mpea-02b,C_measured,4.6,600.0,B2_BCC[ordered],0.09034824473064867,,1300.0
mpea-02b,C_measured,4.6,625.0,A1_FCC,0.9153501646849916,,1300.0
mpea-02b,C_measured,4.6,625.0,B2_BCC[ordered],0.08464983533230974,,1300.0
mpea-02b,C_measured,4.6,650.0,A1_FCC,0.9214590980358197,,1300.0
mpea-02b,C_measured,4.6,650.0,B2_BCC[ordered],0.07854090198121579,,1300.0
mpea-02b,C_measured,4.6,675.0,A1_FCC,0.9279644942120409,,1300.0
mpea-02b,C_measured,4.6,675.0,B2_BCC[ordered],0.07203550581707961,,1300.0
mpea-02b,C_measured,4.6,700.0,A1_FCC,0.9348530235621925,,1300.0
mpea-02b,C_measured,4.6,700.0,B2_BCC[ordered],0.06514697642191379,,1300.0
mpea-02b,C_measured,4.6,725.0,A1_FCC,0.9421131414068238,,1300.0
mpea-02b,C_measured,4.6,725.0,B2_BCC[ordered],0.05788685858988649,,1300.0
mpea-02b,C_measured,4.6,750.0,A1_FCC,0.9497362105138621,,1300.0
mpea-02b,C_measured,4.6,750.0,B2_BCC[ordered],0.05026378946832787,,1300.0
mpea-02b,C_measured,4.6,775.0,A1_FCC,0.9577177873757549,,1300.0
mpea-02b,C_measured,4.6,775.0,B2_BCC[ordered],0.042282212600760406,,1300.0
mpea-02b,C_measured,4.6,800.0,A1_FCC,0.9660592452053904,,1300.0
mpea-02b,C_measured,4.6,800.0,B2_BCC[ordered],0.03394075478478827,,1300.0
mpea-02b,C_measured,4.6,825.0,A1_FCC,1.0000000000243798,,1300.0
mpea-02b,C_measured,4.6,850.0,A1_FCC,1.000000000007347,,1300.0
mpea-02b,C_measured,4.6,875.0,A1_FCC,1.0000000000189446,,1300.0
mpea-02b,C_measured,4.6,900.0,A1_FCC,1.0000000000019627,,1300.0
mpea-02b,C_measured,4.6,925.0,A1_FCC,0.9999999999960083,,1300.0
mpea-02b,C_measured,4.6,950.0,A1_FCC,0.9999999999969954,,1300.0
mpea-02b,C_measured,5.0,1000.0,A1_FCC,0.9999999999887502,,1300.0
mpea-02b,C_measured,5.0,1010.0,A1_FCC,1.0000000000076603,,1300.0
mpea-02b,C_measured,5.0,1020.0,A1_FCC,0.9999999999884568,,1300.0
mpea-02b,C_measured,5.0,1030.0,A1_FCC,1.0000000000058056,,1300.0
mpea-02b,C_measured,5.0,1040.0,A1_FCC,1.0000000000110667,,1300.0
mpea-02b,C_measured,5.0,1050.0,A1_FCC,0.9999999999901671,,1300.0
mpea-02b,C_measured,5.0,1060.0,A1_FCC,0.9999999999752517,,1300.0
mpea-02b,C_measured,5.0,1070.0,A1_FCC,0.967490471964562,,1300.0
mpea-02b,C_measured,5.0,1070.0,B2_BCC[A2],0.03250952804849757,,1300.0
mpea-02b,C_measured,5.0,1080.0,A1_FCC,0.9138229615886508,,1300.0
mpea-02b,C_measured,5.0,1080.0,B2_BCC[A2],0.08617703839147249,,1300.0
mpea-02b,C_measured,5.0,1090.0,A1_FCC,0.8593438591079053,,1300.0
mpea-02b,C_measured,5.0,1090.0,B2_BCC[A2],0.14065614089087577,,1300.0
mpea-02b,C_measured,5.0,1100.0,A1_FCC,0.8042697287311099,,1300.0
mpea-02b,C_measured,5.0,1100.0,B2_BCC[A2],0.195730271297778,,1300.0
mpea-02b,C_measured,5.0,1110.0,A1_FCC,0.748888626297411,,1300.0
mpea-02b,C_measured,5.0,1110.0,B2_BCC[A2],0.25111137371971837,,1300.0
mpea-02b,C_measured,5.0,1120.0,A1_FCC,0.6935656318610215,,1300.0
mpea-02b,C_measured,5.0,1120.0,B2_BCC[A2],0.3064343681452619,,1300.0
mpea-02b,C_measured,5.0,1130.0,A1_FCC,0.6387410330359393,,1300.0
mpea-02b,C_measured,5.0,1130.0,B2_BCC[A2],0.36125896702557464,,1300.0
mpea-02b,C_measured,5.0,1140.0,A1_FCC,0.584917201084379,,1300.0
mpea-02b,C_measured,5.0,1140.0,B2_BCC[A2],0.4150827989092301,,1300.0
mpea-02b,C_measured,5.0,1150.0,A1_FCC,0.5326312259106305,,1300.0
mpea-02b,C_measured,5.0,1150.0,B2_BCC[A2],0.4673687741004557,,1300.0
mpea-02b,C_measured,5.0,1160.0,A1_FCC,0.48241357337476054,,1300.0
mpea-02b,C_measured,5.0,1160.0,B2_BCC[A2],0.5175864266264886,,1300.0
mpea-02b,C_measured,5.0,1170.0,A1_FCC,0.434738143181526,,1300.0
mpea-02b,C_measured,5.0,1170.0,B2_BCC[A2],0.5652618568295247,,1300.0
mpea-02b,C_measured,5.0,1180.0,A1_FCC,0.3899741188953886,,1300.0
mpea-02b,C_measured,5.0,1180.0,B2_BCC[A2],0.6100258810950608,,1300.0
mpea-02b,C_measured,5.0,1190.0,A1_FCC,0.34835170802768994,,1300.0
mpea-02b,C_measured,5.0,1190.0,B2_BCC[A2],0.6516482919776259,,1300.0
mpea-02b,C_measured,5.0,1200.0,A1_FCC,0.3099502569254615,,1300.0
mpea-02b,C_measured,5.0,1200.0,B2_BCC[A2],0.6900497430919916,,1300.0
mpea-02b,C_measured,5.0,1210.0,A1_FCC,0.27470970658300525,,1300.0
mpea-02b,C_measured,5.0,1210.0,B2_BCC[A2],0.7252902934132057,,1300.0
mpea-02b,C_measured,5.0,1220.0,A1_FCC,0.24245908606216654,,1300.0
mpea-02b,C_measured,5.0,1220.0,B2_BCC[A2],0.7575409140007598,,1300.0
mpea-02b,C_measured,5.0,1230.0,A1_FCC,0.21295233120052057,,1300.0
mpea-02b,C_measured,5.0,1230.0,B2_BCC[A2],0.7870476688067567,,1300.0
mpea-02b,C_measured,5.0,1240.0,A1_FCC,0.18590272193377616,,1300.0
mpea-02b,C_measured,5.0,1240.0,B2_BCC[A2],0.814097278070765,,1300.0
mpea-02b,C_measured,5.0,1250.0,A1_FCC,0.16103136720982023,,1300.0
mpea-02b,C_measured,5.0,1250.0,B2_BCC[A2],0.838968632796335,,1300.0
mpea-02b,C_measured,5.0,1260.0,A1_FCC,0.13800447946557803,,1300.0
mpea-02b,C_measured,5.0,1260.0,B2_BCC[A2],0.8619955205363772,,1300.0
mpea-02b,C_measured,5.0,1270.0,A1_FCC,0.11657401185644765,,1300.0
mpea-02b,C_measured,5.0,1270.0,B2_BCC[A2],0.8834259881253792,,1300.0
mpea-02b,C_measured,5.0,1280.0,A1_FCC,0.09649191858882018,,1300.0
mpea-02b,C_measured,5.0,1280.0,B2_BCC[A2],0.9035080814124401,,1300.0
mpea-02b,C_measured,5.0,1290.0,A1_FCC,0.07753519529835029,,1300.0
mpea-02b,C_measured,5.0,1290.0,B2_BCC[A2],0.9224648047032682,,1300.0
mpea-02b,C_measured,5.0,1300.0,LIQUID,0.04607638055902962,,1300.0
mpea-02b,C_measured,5.0,1300.0,B2_BCC[A2],0.9539236194876362,,1300.0
mpea-02b,C_measured,5.0,1310.0,LIQUID,0.062128925968237755,,1300.0
mpea-02b,C_measured,5.0,1310.0,B2_BCC[A2],0.9378710740389534,,1300.0
mpea-02b,C_measured,5.0,1320.0,LIQUID,0.08359965332369121,,1300.0
mpea-02b,C_measured,5.0,1320.0,B2_BCC[A2],0.9164003466544951,,1300.0
mpea-02b,C_measured,5.0,1330.0,LIQUID,0.46594728712133804,,1300.0
