database,series,ni_at,T_C,label,fraction,alpha_solvus_C
mpea-02b,C_measured,5.0,1090.0,B2_BCC[A2],0.1406561411538027,1340.0
mpea-02b,C_measured,5.0,1100.0,A1_FCC,0.8042697285909929,1340.0
mpea-02b,C_measured,5.0,1100.0,B2_BCC[A2],0.19573027144074337,1340.0
mpea-02b,C_measured,5.0,1110.0,A1_FCC,0.7488886263015296,1340.0
mpea-02b,C_measured,5.0,1110.0,B2_BCC[A2],0.2511113737038133,1340.0
mpea-02b,C_measured,5.0,1120.0,A1_FCC,0.6935656318723769,1340.0
mpea-02b,C_measured,5.0,1120.0,B2_BCC[A2],0.3064343680915738,1340.0
mpea-02b,C_measured,5.0,1130.0,A1_FCC,0.6387410330416654,1340.0
mpea-02b,C_measured,5.0,1130.0,B2_BCC[A2],0.36125896700217713,1340.0
mpea-02b,C_measured,5.0,1140.0,A1_FCC,0.5849172010803949,1340.0
mpea-02b,C_measured,5.0,1140.0,B2_BCC[A2],0.41508279890047084,1340.0
mpea-02b,C_measured,5.0,1150.0,A1_FCC,0.5326312259173751,1340.0
mpea-02b,C_measured,5.0,1150.0,B2_BCC[A2],0.4673687740909017,1340.0
mpea-02b,C_measured,5.0,1160.0,A1_FCC,0.482413573405979,1340.0
mpea-02b,C_measured,5.0,1160.0,B2_BCC[A2],0.5175864265995355,1340.0
mpea-02b,C_measured,5.0,1170.0,A1_FCC,0.4347381431735617,1340.0
mpea-02b,C_measured,5.0,1170.0,B2_BCC[A2],0.5652618568541034,1340.0
mpea-02b,C_measured,5.0,1180.0,A1_FCC,0.38997411891948147,1340.0
mpea-02b,C_measured,5.0,1180.0,B2_BCC[A2],0.6100258811075003,1340.0
mpea-02b,C_measured,5.0,1190.0,A1_FCC,0.34835170802918775,1340.0
mpea-02b,C_measured,5.0,1190.0,B2_BCC[A2],0.6516482919811757,1340.0
mpea-02b,C_measured,5.0,1200.0,A1_FCC,0.3099502569225894,1340.0
mpea-02b,C_measured,5.0,1200.0,B2_BCC[A2],0.6900497430335331,1340.0
mpea-02b,C_measured,5.0,1210.0,A1_FCC,0.27470970659356064,1340.0
mpea-02b,C_measured,5.0,1210.0,B2_BCC[A2],0.72529029340091,1340.0
mpea-02b,C_measured,5.0,1220.0,A1_FCC,0.2424590860547813,1340.0
mpea-02b,C_measured,5.0,1220.0,B2_BCC[A2],0.7575409139308273,1340.0
mpea-02b,C_measured,5.0,1230.0,A1_FCC,0.21295233117215331,1340.0
mpea-02b,C_measured,5.0,1230.0,B2_BCC[A2],0.7870476688294205,1340.0
mpea-02b,C_measured,5.0,1240.0,A1_FCC,0.18590272193329857,1340.0
mpea-02b,C_measured,5.0,1240.0,B2_BCC[A2],0.8140972780885389,1340.0
mpea-02b,C_measured,5.0,1250.0,A1_FCC,0.16103136719311734,1340.0
mpea-02b,C_measured,5.0,1250.0,B2_BCC[A2],0.8389686328066719,1340.0
mpea-02b,C_measured,5.0,1260.0,A1_FCC,0.13800447948418054,1340.0
mpea-02b,C_measured,5.0,1260.0,B2_BCC[A2],0.8619955205354414,1340.0
mpea-02b,C_measured,5.0,1270.0,A1_FCC,0.1165740118506807,1340.0
mpea-02b,C_measured,5.0,1270.0,B2_BCC[A2],0.8834259881242829,1340.0
mpea-02b,C_measured,5.0,1280.0,A1_FCC,0.09649191858548035,1340.0
mpea-02b,C_measured,5.0,1280.0,B2_BCC[A2],0.9035080814184573,1340.0
mpea-02b,C_measured,5.0,1290.0,A1_FCC,0.07753519528990475,1340.0
mpea-02b,C_measured,5.0,1290.0,B2_BCC[A2],0.9224648046918901,1340.0
mpea-02b,C_measured,5.0,1300.0,A1_FCC,0.05950568043170946,1340.0
mpea-02b,C_measured,5.0,1300.0,B2_BCC[A2],0.9404943195611757,1340.0
mpea-02b,C_measured,5.0,1310.0,A1_FCC,0.04222832795458096,1340.0
mpea-02b,C_measured,5.0,1310.0,B2_BCC[A2],0.9577716720602442,1340.0
mpea-02b,C_measured,5.0,1320.0,A1_FCC,0.02554874684632962,1340.0
mpea-02b,C_measured,5.0,1320.0,B2_BCC[A2],0.9744512531592717,1340.0
mpea-02b,C_measured,5.0,1330.0,A1_FCC,0.009330499420299213,1340.0
mpea-02b,C_measured,5.0,1330.0,B2_BCC[A2],0.9906695005746349,1340.0
mpea-02b,C_measured,5.0,1340.0,B2_BCC[A2],0.9999999999954018,1340.0
mpea-02b,C_measured,5.0,1350.0,B2_BCC[A2],0.9999999999992323,1340.0
mpea-02b,C_measured,5.0,1360.0,B2_BCC[A2],0.9999999999973272,1340.0
mpea-02b,C_measured,5.0,1370.0,B2_BCC[A2],0.9999999999942994,1340.0
mpea-02b,C_measured,5.0,1380.0,B2_BCC[A2],1.0000000000014948,1340.0
mpea-02b,C_measured,5.0,1390.0,B2_BCC[A2],0.9999999999996695,1340.0
mpea-02b,C_measured,5.0,1400.0,B2_BCC[A2],0.9999999999757808,1340.0
mpea-02b,C_measured,5.0,450.0,A1_FCC,0.8750664475673561,1340.0
mpea-02b,C_measured,5.0,450.0,B2_BCC[ordered],0.12493355244845442,1340.0
mpea-02b,C_measured,5.0,475.0,A1_FCC,0.8780690845553002,1340.0
mpea-02b,C_measured,5.0,475.0,B2_BCC[ordered],0.12193091543961088,1340.0
mpea-02b,C_measured,5.0,500.0,A1_FCC,0.8815274101108637,1340.0
mpea-02b,C_measured,5.0,500.0,B2_BCC[ordered],0.11847258990594275,1340.0
mpea-02b,C_measured,5.0,525.0,A1_FCC,0.8854415225059931,1340.0
mpea-02b,C_measured,5.0,525.0,B2_BCC[ordered],0.1145584774860906,1340.0
mpea-02b,C_measured,5.0,550.0,A1_FCC,0.8898066236133697,1340.0
mpea-02b,C_measured,5.0,550.0,B2_BCC[ordered],0.11019337638594245,1340.0
mpea-02b,C_measured,5.0,575.0,A1_FCC,0.8946136896950978,1340.0
mpea-02b,C_measured,5.0,575.0,B2_BCC[ordered],0.10538631031867221,1340.0
mpea-02b,C_measured,5.0,600.0,A1_FCC,0.8998502906682434,1340.0
mpea-02b,C_measured,5.0,600.0,B2_BCC[ordered],0.10014970936165507,1340.0
mpea-02b,C_measured,5.0,625.0,A1_FCC,0.9055015071827857,1340.0
mpea-02b,C_measured,5.0,625.0,B2_BCC[ordered],0.09449849282270747,1340.0
mpea-02b,C_measured,5.0,650.0,A1_FCC,0.9115508945390655,1340.0
mpea-02b,C_measured,5.0,650.0,B2_BCC[ordered],0.08844910542273472,1340.0
mpea-02b,C_measured,5.0,675.0,A1_FCC,0.9179814498472034,1340.0
mpea-02b,C_measured,5.0,675.0,B2_BCC[ordered],0.08201855015233053,1340.0
mpea-02b,C_measured,5.0,700.0,A1_FCC,0.924776554685963,1340.0
mpea-02b,C_measured,5.0,700.0,B2_BCC[ordered],0.0752234453273366,1340.0
mpea-02b,C_measured,5.0,725.0,A1_FCC,0.9319208868812495,1340.0
mpea-02b,C_measured,5.0,725.0,B2_BCC[ordered],0.06807911312955839,1340.0
mpea-02b,C_measured,5.0,750.0,A1_FCC,0.9394013222163508,1340.0
mpea-02b,C_measured,5.0,750.0,B2_BCC[ordered],0.06059867776449351,1340.0
mpea-02b,C_measured,5.0,775.0,A1_FCC,0.947207881160152,1340.0
mpea-02b,C_measured,5.0,775.0,B2_BCC[ordered],0.05279211883844769,1340.0
mpea-02b,C_measured,5.0,800.0,A1_FCC,0.9553348253346868,1340.0
mpea-02b,C_measured,5.0,800.0,B2_BCC[ordered],0.044665174668213375,1340.0
mpea-02b,C_measured,5.0,825.0,A1_FCC,1.0000000000129117,1340.0
mpea-02b,C_measured,5.0,850.0,A1_FCC,1.0000000000054658,1340.0
mpea-02b,C_measured,5.0,875.0,A1_FCC,0.9999999999905681,1340.0
mpea-02b,C_measured,5.0,900.0,A1_FCC,1.0000000000306815,1340.0
mpea-02b,C_measured,5.0,925.0,A1_FCC,0.99999999998397,1340.0
mpea-02b,C_measured,5.0,950.0,A1_FCC,0.9999999999997232,1340.0
mpea-02b,C_measured,5.4,1000.0,A1_FCC,1.000000000014559,1340.0
